aX,aY,aZ,gX,gY,gZ
-0.409,0.535,1.199,44.312,20.081,-148.621
-0.422,0.498,1.255,41.382,27.710,-160.828
-0.381,0.165,1.285,31.860,36.133,-171.509
-0.348,0.009,1.236,24.353,45.471,-176.392
-0.325,-0.087,1.141,22.034,61.035,-173.096
-0.326,-0.116,0.978,22.522,63.904,-171.509
-0.318,-0.176,0.903,23.071,64.331,-174.255
-0.279,-0.353,0.860,20.203,59.631,-184.021
-0.215,-0.605,0.864,15.991,56.946,-180.664
-0.057,-1.067,0.889,11.047,55.542,-168.213
0.006,-1.137,0.878,9.033,55.054,-147.339
0.044,-1.055,0.851,16.663,53.711,-99.243
0.071,-0.707,0.819,18.250,51.270,-83.862
0.078,-0.601,0.831,13.367,47.791,-77.026
0.094,-0.582,0.847,-4.333,41.687,-76.599
0.124,-0.634,0.860,-8.362,40.283,-74.585
0.198,-0.738,0.877,-9.460,40.039,-67.749
0.228,-0.717,0.874,-10.376,40.466,-57.373
0.251,-0.657,0.855,-13.916,42.786,-37.048
0.267,-0.482,0.755,-15.930,43.518,-29.663
0.266,-0.369,0.696,-19.592,41.809,-24.902
0.270,-0.291,0.658,-35.278,31.067,-25.635
0.281,-0.267,0.635,-43.091,24.841,-27.771
0.302,-0.286,0.572,-44.800,19.348,-27.893
0.299,-0.231,0.509,-39.734,14.099,-25.513
0.281,-0.138,0.426,-30.823,-1.892,-23.071
0.186,0.094,0.255,-32.104,-14.282,-26.917
0.130,0.188,0.189,-31.006,-28.687,-35.400
0.084,0.230,0.120,-21.240,-63.660,-61.157
0.019,0.177,0.218,-10.132,-84.167,-72.937
-0.013,0.159,0.298,8.057,-99.915,-82.886
-0.039,0.095,0.360,23.987,-110.779,-93.018
-0.043,-0.056,0.428,32.104,-130.249,-107.483
-0.042,-0.248,0.495,41.687,-139.343,-104.797
-0.083,-0.209,0.539,59.387,-149.048,-99.060
-0.137,-0.212,0.665,77.148,-170.105,-94.971
-0.208,-0.572,1.265,64.636,-175.903,-91.675
-0.251,-0.675,1.513,47.119,-171.814,-79.468
-0.310,-0.635,1.597,32.776,-137.390,-42.847
-0.381,-0.523,1.579,33.508,-119.019,-30.396
-0.516,-0.319,1.542,31.372,-103.821,-23.254
-0.571,-0.276,1.551,25.330,-89.172,-20.142
-0.600,-0.272,1.534,14.832,-58.411,-21.301
-0.607,-0.321,1.555,7.568,-46.082,-23.682
-0.586,-0.381,1.549,0.549,-33.203,-24.902
-0.561,-0.425,1.512,-6.226,-7.446,-19.958
-0.538,-0.426,1.460,-7.935,3.723,-15.747
-0.499,-0.361,1.267,-9.155,13.611,-12.878
-0.470,-0.346,1.115,-9.277,20.508,-12.512
-0.428,-0.388,1.003,-12.329,19.165,-15.808
-0.318,-0.660,0.955,-15.259,14.282,-14.343
-0.270,-0.821,0.992,-16.907,10.071,-7.019
-0.245,-0.901,1.020,-17.395,8.484,25.330
-0.252,-0.878,1.024,-20.264,9.888,42.175
-0.310,-0.721,0.936,-27.039,11.353,53.162
-0.322,-0.736,0.858,-38.086,11.597,57.434
-0.313,-0.839,0.785,-63.416,6.714,60.852
-0.280,-1.191,0.710,-72.266,3.357,68.665
-0.282,-1.349,0.702,-77.759,0.488,84.900
-0.318,-1.379,0.713,-71.289,-2.441,141.907
-0.396,-1.212,0.745,-62.927,-2.991,171.326
-0.569,-0.575,0.861,-58.594,-2.258,189.880
-0.611,-0.341,0.883,-62.073,0.061,194.153
-0.605,-0.285,0.859,-84.900,6.653,175.537
-0.531,-0.492,0.712,-88.257,9.094,169.739
-0.515,-0.551,0.663,-80.811,9.033,174.194
-0.539,-0.469,0.668,-42.847,1.465,205.872
-0.597,-0.230,0.695,-24.292,-4.089,218.933
-0.713,0.412,0.847,-17.700,-11.230,221.436
-0.740,0.695,0.977,-22.278,-17.517,211.731
-0.730,0.888,1.078,-42.175,-18.799,161.865
-0.642,1.021,1.020,-50.720,-16.479,130.615
-0.580,1.008,0.859,-55.359,-17.212,100.342
-0.514,0.946,0.675,-43.762,-37.842,51.147
-0.457,0.852,0.588,-27.893,-56.946,36.926
-0.418,0.683,0.830,-9.949,-74.768,28.442
-0.444,0.696,0.988,5.615,-85.999,22.949
-0.487,0.791,1.079,20.508,-90.332,3.967
-0.530,0.751,1.271,18.250,-89.172,-14.832
-0.487,0.401,1.538,10.010,-86.548,-34.119
-0.425,-0.041,1.876,-1.038,-56.580,-33.447
-0.392,-0.345,2.136,0.305,-25.085,-10.193
-0.471,-0.482,2.442,-2.747,12.390,17.029
-0.566,-0.438,2.552,-14.160,54.504,42.603
-0.681,-0.320,2.518,-40.100,151.428,75.439
-0.841,-0.190,2.035,-49.561,196.655,77.209
-0.845,-0.275,1.724,-62.195,233.093,72.754
-0.801,-0.359,1.368,-74.585,273.437,70.862
-0.714,-0.339,0.986,-65.552,272.827,75.073
-0.445,-0.122,0.496,-55.542,259.460,77.271
-0.314,-0.042,0.445,-50.476,239.136,76.050
-0.217,0.064,0.446,-42.053,196.045,67.505
-0.070,0.344,0.336,-37.231,174.927,57.312
0.006,0.397,0.248,-33.875,151.855,41.321
0.094,0.316,0.219,-26.611,100.281,3.845
0.175,0.184,0.263,-19.897,77.881,-5.615
0.232,0.169,0.411,-11.536,60.364,-9.216
0.235,0.169,0.484,-6.104,46.875,-12.878
0.243,0.101,0.551,-2.380,29.541,-19.775
0.254,0.036,0.568,1.465,25.574,-19.104
0.256,0.034,0.520,4.028,21.912,-18.372
0.260,-0.011,0.528,-2.075,7.141,-18.799
0.255,-0.072,0.596,-6.226,0.854,-16.052
0.205,-0.028,0.671,-9.216,-2.930,-12.268
0.179,0.036,0.678,-11.841,-6.470,-10.437
0.167,0.036,0.714,-15.442,-14.587,-14.709
0.174,-0.077,0.803,-12.146,-16.541,-14.648
0.181,-0.076,0.839,-4.822,-17.090,-11.536
0.179,-0.035,0.897,4.089,-16.846,-6.714
0.171,-0.010,0.963,0.732,-14.893,-8.118
0.170,-0.072,1.003,-3.479,-11.414,-9.460
0.171,-0.081,0.992,-5.249,-8.118,-8.484
0.166,-0.047,0.988,-5.493,-5.371,-3.540
0.153,0.026,1.008,-5.188,-4.944,-3.174
0.159,0.025,1.015,-4.395,-4.333,-4.150
0.169,0.017,1.009,-2.869,-3.662,-5.127
0.179,0.015,0.988,-4.211,-4.272,-4.761
