Motion detected, recording started...
aX, aY, aZ, gX, gY, gZ
Recording complete. Printing data...
aX,aY,aZ,gX,gY,gZ
-0.620,0.502,-0.445,111.389,-146.851,200.134
-0.775,0.687,-0.470,113.770,-171.326,244.873
-0.964,1.235,-0.433,122.803,-203.796,270.142
-0.965,1.475,-0.360,128.723,-245.605,262.512
-1.005,1.612,-0.248,109.863,-339.661,160.278
-1.158,1.637,0.016,108.887,-368.591,95.154
-1.159,1.567,0.123,121.155,-374.878,32.959
-1.071,1.373,0.276,157.837,-344.238,-74.524
-0.976,1.101,0.454,142.273,-320.740,-97.717
-0.883,0.848,0.748,99.976,-304.382,-94.910
-0.864,0.818,1.070,49.805,-299.377,-78.247
-0.830,0.855,1.392,21.545,-228.577,-34.424
-0.643,1.013,1.495,50.171,-146.545,-20.813
-0.595,1.099,1.286,73.425,-61.646,-15.137
-0.584,1.184,1.016,74.524,41.626,-19.714
-0.577,1.254,0.780,58.350,53.162,-32.227
-0.518,1.219,0.550,39.551,49.561,-53.345
-0.472,1.107,0.506,21.973,41.931,-77.759
-0.414,0.983,0.482,-22.827,24.170,-108.459
-0.302,0.880,0.571,-55.176,10.437,-111.023
-0.245,0.897,0.730,-97.046,-4.089,-110.596
-0.231,0.929,0.911,-158.997,1.038,-113.464
-0.291,0.959,0.986,-134.155,33.752,-125.183
-0.338,0.813,0.795,-88.318,75.867,-142.700
-0.358,0.693,0.666,-52.551,114.685,-153.931
-0.369,0.602,0.564,-22.156,169.373,-144.165
-0.304,0.517,0.416,-15.442,189.148,-128.967
-0.315,0.569,0.338,-13.733,206.177,-110.474
-0.392,0.690,0.233,-0.244,250.793,-77.087
-0.447,0.835,0.054,35.034,280.273,-64.697
-0.544,1.033,-0.363,55.054,295.776,-56.580
-0.555,1.081,-0.509,52.979,292.053,-56.580
-0.455,1.097,-0.635,29.358,245.544,-86.914
-0.253,0.910,-0.723,2.869,202.759,-113.281
-0.200,0.690,-0.628,-28.320,152.405,-137.695
-0.171,0.457,-0.449,-88.257,65.369,-143.433
-0.160,0.277,-0.213,-98.328,47.729,-119.690
-0.107,0.221,0.217,-89.172,53.711,-84.900
-0.186,0.355,0.276,-64.758,82.825,-47.363
-0.210,0.471,0.145,9.949,183.289,-14.771
-0.265,0.341,-0.409,34.851,223.328,-5.432
-0.282,0.364,-0.694,39.490,240.051,18.127
-0.253,0.488,-0.870,-12.451,186.035,70.923
-0.255,0.617,-0.902,-41.199,142.334,81.970
-0.331,0.794,-0.820,-54.993,112.305,87.891
-0.331,0.900,-0.831,-55.847,95.581,93.079
-0.305,0.996,-0.834,-68.970,51.697,83.984
-0.238,1.006,-0.621,-81.726,20.264,64.514
-0.214,0.891,-0.425,-86.121,-5.859,40.161
-0.211,0.732,-0.232,-60.791,-11.047,6.775
-0.247,0.579,-0.101,-38.208,15.442,12.024
-0.369,0.538,-0.217,-10.071,56.152,34.851
-0.434,0.706,-0.446,14.832,97.168,68.054
-0.486,0.941,-0.685,35.278,127.441,119.385
-0.524,1.330,-0.944,25.330,108.826,119.019
-0.551,1.412,-0.944,6.958,78.003,100.586
-0.578,1.419,-0.905,-12.512,25.513,38.635
-0.580,1.373,-0.870,-9.094,11.292,10.315
-0.570,1.180,-0.835,-3.174,2.686,-10.132
-0.570,1.091,-0.839,1.526,-2.563,-21.240
-0.563,1.051,-0.854,0.793,-11.780,-21.240
-0.532,1.044,-0.882,3.113,-19.653,-18.860
-0.518,1.057,-0.870,5.188,-31.311,-16.907
-0.502,1.092,-0.828,1.282,-60.852,-16.296
-0.482,1.139,-0.758,4.150,-73.059,-23.682
-0.417,1.149,-0.574,15.198,-81.055,-38.513
-0.374,1.063,-0.490,33.813,-83.496,-58.777
-0.334,0.931,-0.433,69.702,-73.059,-93.018
-0.288,0.690,-0.435,78.857,-63.599,-97.595
-0.282,0.631,-0.491,82.092,-55.298,-93.140
-0.279,0.634,-0.558,67.627,-56.335,-65.247
-0.268,0.752,-0.628,57.678,-67.322,-50.110
-0.268,0.812,-0.615,48.767,-82.092,-39.185
-0.271,0.851,-0.580,37.842,-97.534,-33.508
-0.273,0.858,-0.546,33.386,-120.666,-36.621
-0.247,0.792,-0.543,48.584,-128.845,-41.138
-0.243,0.749,-0.545,60.425,-139.832,-43.213
-0.253,0.741,-0.499,49.377,-168.213,-30.029
-0.259,0.839,-0.283,40.771,-175.476,-21.057
-0.238,0.883,-0.203,46.021,-172.974,-18.311
-0.211,0.884,-0.173,79.834,-152.039,-33.508
-0.194,0.846,-0.177,93.750,-143.066,-42.358
-0.195,0.742,-0.252,109.009,-138.062,-45.715
-0.197,0.724,-0.291,121.277,-139.771,-41.809
-0.200,0.746,-0.276,106.750,-162.842,-22.583
-0.208,0.818,-0.143,97.473,-170.349,-17.517
-0.211,0.812,-0.130,96.985,-168.701,-18.372
-0.209,0.765,-0.164,85.022,-166.809,-26.489
