Motion detected, recording started...
aX, aY, aZ, gX, gY, gZ
Recording complete. Printing data...
aX,aY,aZ,gX,gY,gZ
0.246,0.606,-0.212,-0.793,-78.552,33.142
0.251,0.601,-0.230,-1.709,-76.355,38.025
0.251,0.609,-0.234,-4.822,-74.768,43.274
0.250,0.629,-0.218,-11.230,-72.083,54.016
0.255,0.725,-0.165,-11.902,-69.824,58.594
0.265,0.763,-0.143,-7.751,-67.627,61.035
0.276,0.753,-0.098,-2.441,-67.139,58.838
0.284,0.644,-0.001,-6.531,-64.819,58.899
0.278,0.590,0.016,-9.766,-59.143,61.890
0.269,0.572,0.023,-11.230,-51.697,68.176
0.258,0.597,0.028,-10.559,-36.865,84.839
0.219,0.712,0.027,-7.263,-29.602,90.759
0.192,0.775,0.005,-1.892,-21.423,93.811
0.165,0.810,-0.049,15.259,-5.737,92.773
0.119,0.825,-0.156,20.691,-3.601,92.224
0.105,0.845,-0.141,22.095,-6.165,93.262
0.095,0.868,-0.089,18.311,-9.460,96.558
0.087,0.893,-0.035,10.071,-6.287,97.900
0.075,0.958,0.003,1.465,-1.587,98.328
0.068,0.975,0.006,-3.052,2.625,97.351
0.061,0.976,0.020,-3.601,8.362,93.140
0.040,0.994,0.057,-2.808,12.207,91.370
0.024,1.011,0.060,-0.366,17.517,89.478
0.006,1.017,0.045,8.057,29.602,84.839
-0.012,1.014,0.021,6.653,33.691,83.313
-0.041,1.017,-0.000,0.671,36.316,82.825
-0.057,1.040,0.013,-8.057,39.063,82.825
-0.080,1.084,0.011,-25.757,51.636,81.116
-0.113,1.226,-0.074,-25.452,58.899,78.430
-0.117,1.277,-0.117,-19.409,62.988,73.303
-0.123,1.272,-0.123,-9.399,62.134,55.420
-0.143,1.198,-0.091,-14.648,64.148,47.668
-0.233,1.063,-0.128,-19.470,71.655,46.021
-0.261,1.105,-0.215,-16.907,80.444,49.500
-0.266,1.178,-0.270,-10.559,80.139,51.331
-0.256,1.213,-0.186,-11.963,75.256,45.959
-0.276,1.185,-0.115,-16.724,75.073,39.673
-0.319,1.177,-0.127,-19.653,96.802,33.508
-0.363,1.193,-0.235,-15.381,106.873,31.860
-0.402,1.225,-0.433,-15.015,107.361,29.968
