aX,aY,aZ,gX,gY,gZ
0.004,0.813,-0.324,-19.958,-32.288,-37.476
0.008,0.811,-0.361,-19.409,-30.823,-36.255
0.018,0.805,-0.356,-20.081,-33.813,-31.921
0.031,0.817,-0.320,-17.822,-32.654,-28.748
0.042,0.837,-0.330,-13.367,-29.358,-26.794
0.043,0.818,-0.370,-9.155,-27.161,-25.818
0.042,0.786,-0.397,-10.376,-29.114,-21.484
0.030,0.758,-0.406,-13.794,-32.043,-16.785
0.027,0.774,-0.383,-16.174,-36.194,-11.292
0.034,0.822,-0.333,-17.090,-43.274,-3.906
0.047,0.882,-0.283,-16.235,-42.480,-5.249
0.062,0.868,-0.260,-13.428,-39.673,-9.277
0.065,0.819,-0.272,-9.033,-36.560,-12.390
0.073,0.808,-0.261,-2.747,-33.325,-10.742
0.097,0.828,-0.218,-0.183,-31.128,-11.353
0.104,0.766,-0.243,5.798,-27.588,-13.794
0.109,0.731,-0.271,15.259,-25.513,-7.385
0.107,0.774,-0.268,11.475,-26.184,-1.465
0.090,0.933,-0.241,6.897,-25.818,1.038
0.087,0.976,-0.245,4.456,-24.841,-0.916
0.088,0.974,-0.276,0.488,-25.513,-14.282
0.107,0.900,-0.317,-5.066,-29.602,-20.996
0.128,0.848,-0.296,-14.221,-35.034,-25.757
0.153,0.801,-0.248,-33.203,-42.603,-26.611
0.186,0.789,-0.172,-38.208,-41.931,-24.109
0.195,0.797,-0.177,-40.894,-38.940,-22.827
0.202,0.785,-0.190,-41.260,-35.400,-22.888
0.207,0.779,-0.219,-33.142,-29.785,-20.447
0.202,0.805,-0.290,-29.175,-29.297,-18.677
0.198,0.828,-0.323,-26.672,-28.748,-16.418
0.193,0.841,-0.361,-26.978,-31.433,-13.062
0.206,0.796,-0.318,-29.175,-35.889,-11.292
0.220,0.789,-0.269,-30.212,-37.964,-7.385
0.231,0.797,-0.243,-29.053,-36.011,-3.113
0.230,0.796,-0.257,-20.874,-24.048,2.197
0.203,0.828,-0.381,-14.526,-19.165,5.798
0.192,0.876,-0.423,-8.667,-18.250,9.338
0.194,0.906,-0.429,-4.944,-25.574,7.996
0.223,0.839,-0.363,-7.812,-29.907,4.517
0.234,0.775,-0.336,-11.658,-31.982,2.319
0.231,0.729,-0.348,-16.418,-29.053,7.690
0.228,0.727,-0.374,-16.113,-28.320,14.099
0.221,0.801,-0.356,-14.832,-27.771,19.409
0.207,0.804,-0.363,-12.634,-26.001,21.790
0.201,0.791,-0.374,-10.803,-26.550,23.804
0.211,0.768,-0.333,-12.817,-28.381,25.452
0.208,0.751,-0.334,-14.832,-28.381,27.954
0.202,0.756,-0.339,-20.691,-29.480,37.231
0.198,0.789,-0.321,-23.926,-30.518,41.565
0.193,0.840,-0.255,-22.278,-28.931,43.823
0.184,0.851,-0.264,-15.564,-24.475,44.434
0.176,0.864,-0.287,-6.042,-17.883,43.091
0.161,0.897,-0.292,-5.737,-16.541,41.931
0.151,0.911,-0.303,-4.578,-14.404,40.344
0.137,0.911,-0.320,2.808,-11.414,35.767
0.124,0.898,-0.335,4.333,-12.146,34.607
0.112,0.872,-0.338,2.747,-14.404,34.912
0.118,0.881,-0.314,-0.916,-17.456,36.072
0.126,0.890,-0.281,-7.263,-20.020,36.194
0.129,0.873,-0.249,-9.705,-18.066,35.217
0.114,0.877,-0.272,-12.268,-14.099,35.522
0.095,0.909,-0.321,-14.465,-7.751,37.903
0.081,0.952,-0.359,-13.977,-8.728,36.377
0.083,0.960,-0.345,-12.146,-10.742,32.776
0.092,0.939,-0.328,-8.301,-11.169,29.846
0.096,0.926,-0.319,2.502,-6.470,29.053
0.086,0.910,-0.333,6.409,-4.089,29.602
0.079,0.916,-0.339,7.019,-2.869,30.273
0.072,0.914,-0.353,3.174,-2.869,29.663
0.068,0.907,-0.361,0.000,-4.456,29.297
0.060,0.880,-0.343,-3.723,-5.676,29.236
0.047,0.874,-0.346,-6.653,-5.432,30.212
0.034,0.883,-0.355,-10.132,-4.150,34.119
0.027,0.925,-0.362,-11.719,-4.578,34.668
0.033,0.916,-0.350,-12.329,-5.249,33.386
0.040,0.885,-0.321,-8.728,-3.967,31.799
0.042,0.870,-0.302,-5.981,0.122,33.752
0.017,0.889,-0.375,-3.052,4.028,35.217
0.011,0.880,-0.385,-0.793,4.272,35.156
0.017,0.873,-0.354,0.732,0.549,34.668
0.031,0.880,-0.290,0.671,1.770,34.424
0.025,0.885,-0.286,0.122,4.578,33.936
0.013,0.889,-0.298,-0.244,9.949,33.997
0.000,0.885,-0.312,-0.122,10.986,34.973
-0.022,0.898,-0.312,-0.366,11.414,36.621
-0.033,0.914,-0.306,-0.916,12.268,37.720
-0.047,0.915,-0.312,-0.732,16.174,37.109
-0.073,0.940,-0.342,-0.488,17.334,37.842
-0.082,0.980,-0.337,0.183,17.761,38.391
-0.093,0.996,-0.341,4.761,20.325,33.875
-0.103,0.993,-0.352,6.531,20.691,31.616
-0.104,0.983,-0.333,6.592,19.775,29.541
-0.098,0.951,-0.306,5.066,18.738,26.917
-0.094,0.920,-0.276,0.977,19.043,25.146
-0.095,0.907,-0.240,0.366,21.118,25.757
-0.101,0.897,-0.241,-0.244,23.926,25.818
-0.107,0.886,-0.250,-3.113,29.419,27.100
-0.115,0.882,-0.262,-2.747,31.677,29.480
-0.139,0.932,-0.257,-0.977,33.691,32.043
-0.150,0.961,-0.251,0.610,35.950,32.715
-0.159,0.967,-0.253,-0.488,40.222,28.259
-0.180,0.936,-0.273,-3.296,41.504,25.940
-0.198,0.951,-0.291,-5.615,42.847,25.513
-0.214,0.994,-0.321,-5.127,44.617,25.452
-0.219,1.035,-0.326,-4.333,43.274,22.278
-0.207,1.012,-0.267,-4.456,42.419,17.334
-0.207,0.963,-0.249,-5.920,43.152,12.634
-0.217,0.932,-0.260,-9.277,48.462,10.559
