aX,aY,aZ,gX,gY,gZ
0.135,0.150,0.957,-81.909,4.578,-34.973
0.135,0.156,0.960,-75.928,5.432,-33.936
0.130,0.187,0.965,-58.777,7.629,-29.602
0.129,0.259,0.964,-53.406,8.484,-28.809
0.129,0.291,0.955,-53.406,8.789,-29.297
0.131,0.304,0.941,-45.410,9.155,-32.898
0.143,0.302,0.921,-34.973,9.094,-33.386
0.163,0.291,0.887,-25.574,8.301,-32.898
0.161,0.303,0.884,-16.296,7.141,-32.104
0.161,0.322,0.889,5.005,5.188,-30.945
0.174,0.332,0.926,16.846,4.333,-31.006
0.178,0.324,0.956,29.663,4.272,-31.433
0.182,0.307,0.964,66.101,9.155,-32.654
0.183,0.300,0.947,88.806,11.658,-32.776
0.186,0.273,0.890,107.117,12.634,-33.813
0.196,0.224,0.872,111.572,11.230,-35.339
0.204,0.174,0.892,92.712,4.639,-38.391
0.190,0.129,1.019,102.539,5.310,-40.405
0.182,0.093,1.025,133.118,12.451,-44.434
0.187,0.008,0.936,217.224,21.301,-46.387
0.182,-0.035,0.942,286.926,15.747,-42.175
0.183,-0.167,1.034,382.019,18.066,-40.161
0.198,-0.304,0.915,481.811,26.245,-38.025
0.213,-0.443,0.797,642.456,25.452,-24.597
0.219,-0.685,0.694,687.256,18.066,-15.381
0.237,-0.710,0.641,699.341,11.597,-5.859
0.268,-0.623,0.598,550.781,3.967,0.488
0.265,-0.508,0.600,414.917,3.601,-12.024
0.216,-0.612,0.653,291.260,8.362,-28.564
0.200,-0.708,0.613,197.449,17.334,-39.612
0.188,-0.778,0.533,115.479,33.325,-46.082
0.213,-0.988,0.383,122.314,34.241,-43.030
0.228,-1.050,0.382,144.775,30.762,-32.837
0.230,-1.003,0.430,181.519,27.283,-2.747
0.231,-0.902,0.469,176.392,29.907,5.188
0.221,-0.804,0.411,163.635,33.203,7.324
0.226,-0.808,0.348,155.457,35.889,6.714
0.241,-0.817,0.294,144.714,37.415,6.470
0.252,-0.727,0.280,123.718,37.598,5.127
0.249,-0.707,0.271,92.407,40.344,0.488
0.250,-0.724,0.223,46.265,48.462,-6.409
0.256,-0.747,0.135,40.710,48.401,-6.592
0.249,-0.752,0.055,43.457,43.640,-6.836
0.224,-0.727,0.111,47.180,37.781,-8.789
0.211,-0.709,0.135,45.959,38.147,-21.729
0.230,-0.754,0.042,41.870,39.124,-30.090
0.228,-0.795,0.003,35.645,37.537,-35.767
0.209,-0.848,0.010,23.071,31.189,-36.743
0.179,-0.877,0.055,19.043,30.151,-34.119
0.134,-0.865,0.120,16.907,32.227,-33.386
0.132,-0.859,0.093,15.991,36.194,-34.546
0.141,-0.849,0.022,18.799,43.213,-35.767
0.166,-0.787,-0.062,24.536,42.358,-35.950
0.160,-0.789,-0.012,27.649,38.086,-38.574
0.138,-0.817,0.043,21.423,33.081,-46.326
0.118,-0.865,0.069,20.142,34.546,-46.753
0.108,-0.882,0.110,20.203,38.147,-44.922
0.109,-0.942,0.135,18.372,43.884,-44.617
0.121,-1.021,0.092,9.338,60.425,-35.095
0.141,-1.029,-0.056,8.484,61.584,-24.475
0.140,-0.942,-0.070,11.963,57.312,-14.893
0.132,-0.851,-0.026,23.560,41.382,-20.203
0.131,-0.838,0.036,24.414,35.767,-32.776
0.125,-0.952,0.047,22.156,33.691,-42.480
0.116,-0.996,0.018,18.311,33.691,-46.875
0.108,-1.023,-0.013,11.292,33.936,-40.894
0.097,-0.972,-0.013,8.850,32.288,-36.621
0.093,-0.967,-0.014,7.996,32.593,-35.767
0.092,-0.956,-0.031,13.000,34.790,-36.865
0.081,-0.883,-0.029,15.381,32.532,-40.955
0.078,-0.920,-0.046,14.587,30.029,-49.927
0.072,-0.983,-0.103,10.742,28.137,-58.472
0.058,-1.010,-0.175,9.033,19.775,-60.181
0.020,-0.939,-0.173,11.902,13.123,-57.312
0.000,-0.924,-0.117,13.428,7.568,-55.481
-0.021,-0.957,-0.087,12.329,0.549,-59.021
-0.059,-1.078,-0.124,15.198,-0.488,-61.035
-0.071,-1.078,-0.139,20.386,-1.099,-60.120
-0.068,-1.043,-0.131,23.437,-3.296,-54.626
-0.053,-1.017,-0.111,16.541,-4.456,-54.810
-0.064,-1.075,-0.163,6.653,-5.493,-56.641
-0.084,-1.109,-0.213,-0.916,-6.653,-57.739
-0.103,-1.094,-0.244,0.244,-9.949,-54.626
-0.130,-0.968,-0.233,4.761,-12.573,-54.687
-0.138,-0.971,-0.214,9.277,-16.235,-56.396
-0.142,-1.039,-0.192,20.203,-26.733,-58.289
-0.146,-1.142,-0.179,26.306,-32.104,-56.274
-0.150,-1.254,-0.142,31.189,-36.133,-52.307
-0.151,-1.223,-0.137,32.227,-37.720,-47.729
-0.150,-1.151,-0.152,20.569,-37.415,-40.588
-0.146,-1.049,-0.256,12.024,-38.635,-39.001
-0.158,-1.049,-0.313,6.470,-41.992,-38.269
-0.180,-1.067,-0.343,10.498,-52.246,-37.903
-0.202,-1.083,-0.334,15.869,-57.495,-38.330
-0.235,-1.083,-0.242,18.799,-60.547,-39.124
-0.242,-1.067,-0.221,18.066,-60.425,-39.185
-0.255,-1.048,-0.211,7.019,-60.486,-36.987
-0.279,-1.085,-0.179,0.793,-62.683,-36.865
-0.291,-1.134,-0.183,-3.418,-64.270,-37.354
-0.299,-1.195,-0.202,-2.197,-66.650,-36.377
-0.299,-1.252,-0.228,0.183,-69.885,-32.654
-0.302,-1.301,-0.207,0.671,-74.280,-26.794
-0.324,-1.285,-0.152,-1.160,-78.003,-20.081
-0.352,-1.251,-0.100,-6.531,-78.857,-10.742
-0.369,-1.232,-0.074,-8.362,-75.989,-9.827
-0.356,-1.260,-0.099,-9.399,-72.693,-9.583
-0.337,-1.300,-0.134,-9.705,-69.214,-4.089
-0.322,-1.319,-0.155,-10.376,-69.946,1.404
-0.330,-1.287,-0.109,-12.390,-71.472,7.080
-0.344,-1.250,-0.071,-15.564,-72.876,12.146
-0.352,-1.216,-0.043,-20.569,-72.937,18.372
-0.343,-1.130,0.016,-20.264,-70.923,19.714
-0.323,-1.084,0.026,-20.020,-66.162,20.569
-0.302,-1.061,-0.004,-17.090,-58.777,16.052
-0.286,-1.082,-0.070,-13.184,-60.059,13.245
-0.285,-1.140,-0.096,-8.545,-63.354,14.038
-0.293,-1.124,-0.020,-6.287,-64.819,17.151
-0.303,-1.109,0.050,-18.188,-56.824,21.362
-0.290,-1.072,0.044,-29.724,-50.171,22.644
-0.271,-1.078,-0.019,-40.649,-44.495,23.560
-0.253,-1.094,-0.075,-46.875,-42.908,28.259
-0.236,-1.101,-0.086,-43.335,-46.143,31.372
-0.213,-1.075,-0.030,-39.307,-49.072,33.630
-0.204,-1.068,-0.021,-36.255,-50.476,34.485
-0.200,-1.067,-0.018,-29.724,-52.612,35.034
-0.197,-1.057,0.016,-25.391,-53.162,35.339
-0.198,-1.062,0.030,-21.912,-52.856,35.522
-0.192,-1.065,0.048,-20.996,-51.331,36.682
-0.173,-1.054,0.063,-24.658,-49.683,37.292
-0.137,-1.047,0.069,-28.748,-47.668,37.476
-0.130,-1.057,0.078,-31.067,-46.082,37.842
-0.131,-1.050,0.114,-28.992,-43.457,39.673
-0.115,-1.011,0.154,-26.855,-40.527,39.673
-0.098,-1.024,0.138,-24.780,-37.964,39.001
-0.084,-1.044,0.145,-19.348,-35.767,40.039
-0.076,-1.058,0.200,-20.264,-33.569,41.565
-0.062,-1.081,0.309,-26.184,-28.748,43.335
-0.057,-1.078,0.306,-35.278,-21.729,45.776
-0.044,-1.038,0.274,-50.049,-6.409,50.598
-0.018,-0.976,0.178,-51.880,-2.319,51.575
-0.014,-0.933,0.175,-48.767,-1.770,52.124
-0.011,-0.922,0.147,-34.241,-0.793,47.424
-0.006,-0.924,0.102,-25.085,-1.709,44.678
-0.002,-0.919,0.068,-15.320,-3.540,41.870
0.005,-0.911,0.115,-5.981,-6.165,39.001
0.014,-0.927,0.172,4.089,-6.714,33.020
0.031,-0.990,0.217,3.296,-4.028,31.982
0.033,-1.001,0.210,-0.061,-0.916,32.898
0.037,-0.991,0.193,-7.629,4.761,36.316
0.043,-0.982,0.172,-10.437,7.141,36.621
0.040,-0.973,0.138,-12.207,8.545,36.926
0.040,-0.954,0.143,-12.756,8.728,37.354
0.042,-0.959,0.135,-11.230,9.399,33.875
0.026,-1.015,0.140,-8.545,7.996,32.776
0.010,-1.010,0.196,-3.723,6.592,33.936
0.020,-0.965,0.268,-2.258,11.047,38.635
0.039,-0.925,0.320,-10.620,17.944,38.574
0.040,-0.918,0.254,-20.630,25.757,38.635
0.051,-0.876,0.206,-27.405,31.921,40.100
0.062,-0.823,0.175,-29.541,39.978,34.912
0.077,-0.785,0.136,-26.855,40.527,29.419
0.083,-0.750,0.161,-22.461,38.452,24.719
0.090,-0.749,0.165,-12.756,38.330,11.108
0.097,-0.785,0.132,-5.005,38.879,3.174
0.066,-0.939,0.082,4.272,39.063,-3.235
0.050,-1.002,0.119,13.855,39.612,-5.127
0.053,-1.030,0.164,18.188,45.105,2.136
0.071,-1.118,0.155,9.277,49.133,6.104
0.072,-1.142,0.101,-2.991,53.650,10.498
0.066,-1.115,0.042,-20.691,59.570,20.081
0.058,-1.041,0.005,-23.071,60.608,22.278
0.068,-0.890,-0.017,-23.376,60.730,20.447
0.082,-0.883,0.002,-23.071,59.692,15.259
0.099,-0.907,0.031,-27.161,60.852,5.920
0.129,-0.952,0.054,-32.715,65.063,4.883
0.144,-0.939,0.002,-38.330,70.068,5.676
0.161,-0.914,-0.054,-42.297,72.021,6.042
0.180,-0.888,-0.089,-40.344,69.031,4.333
0.189,-0.870,-0.011,-37.964,64.941,1.526
0.190,-0.865,0.025,-36.133,62.195,-1.953
0.199,-0.876,0.050,-38.025,58.289,-11.963
0.214,-0.921,0.078,-44.983,57.556,-16.907
0.218,-0.960,0.023,-53.467,59.631,-20.386
0.226,-0.986,-0.052,-51.392,60.242,-17.578
0.234,-0.974,-0.083,-40.344,54.626,-13.733
0.234,-0.887,0.008,-28.259,48.157,-11.414
0.229,-0.865,0.059,-19.836,42.969,-11.902
0.220,-0.881,0.129,-16.968,37.048,-17.456
0.209,-0.918,0.181,-20.691,38.818,-19.409
0.209,-0.937,0.156,-25.635,41.748,-20.569
0.204,-0.956,0.121,-27.344,42.358,-18.677
0.194,-0.965,0.115,-22.156,39.551,-16.418
0.182,-0.978,0.165,-15.991,37.170,-14.709
0.182,-0.978,0.190,-10.803,35.889,-13.550
0.184,-0.956,0.197,-6.226,36.743,-11.292
0.183,-0.882,0.141,-5.615,36.743,-11.108
0.179,-0.852,0.132,-4.456,35.461,-11.658
0.175,-0.839,0.125,0.183,34.302,-14.526
0.175,-0.836,0.113,3.601,34.363,-15.503
0.179,-0.823,0.078,7.385,34.119,-15.808
0.186,-0.800,0.055,11.292,33.264,-15.808
0.190,-0.761,0.035,15.381,30.212,-18.555
0.185,-0.740,0.009,15.625,28.259,-22.583
0.185,-0.745,0.026,15.686,26.245,-26.672
0.189,-0.760,0.053,11.536,24.658,-34.363
0.184,-0.788,0.050,8.362,24.658,-37.231
0.138,-0.805,0.010,7.507,23.865,-39.063
0.119,-0.809,-0.005,9.399,22.583,-40.833
0.107,-0.832,0.006,16.541,19.348,-42.542
0.092,-0.851,0.022,17.578,19.470,-41.748
0.090,-0.828,-0.009,16.052,20.264,-41.199
0.088,-0.801,-0.039,11.841,18.860,-44.006
0.085,-0.802,-0.052,11.108,16.479,-47.302
