aX, aY, aZ, gX, gY, gZ
0.125,1.041,0.245,-28.137,-26.428,115.906
0.114,1.040,0.217,-23.865,-11.597,110.229
0.090,1.034,0.184,-23.193,-4.395,108.154
0.057,1.063,0.174,-24.048,3.601,106.567
0.047,1.082,0.161,-24.231,11.963,104.858
0.032,1.073,0.135,-20.264,23.682,100.586
0.003,1.026,0.101,-21.057,27.039,99.121
-0.010,1.034,0.099,-24.658,30.518,97.778
-0.031,1.047,0.099,-26.733,38.330,94.238
-0.054,1.067,0.100,-24.719,41.809,92.957
-0.082,1.137,0.088,-22.827,45.837,90.454
-0.091,1.146,0.084,-21.851,49.988,86.121
-0.094,1.146,0.099,-23.010,58.960,76.050
-0.119,1.135,0.039,-24.048,65.125,70.190
-0.134,1.122,-0.006,-27.100,67.688,64.331
-0.146,1.119,-0.004,-36.865,64.819,54.626
-0.157,1.121,-0.002,-40.405,66.711,49.622
-0.186,1.085,-0.028,-44.312,69.031,44.556
-0.220,1.069,-0.042,-48.889,71.411,40.161
-0.264,1.055,-0.070,-52.063,78.125,33.203
-0.313,1.079,-0.142,-50.354,81.116,30.945
-0.318,1.105,-0.170,-47.485,83.618,28.320
-0.324,1.113,-0.190,-39.307,87.891,20.386
-0.334,1.101,-0.216,-34.119,89.355,16.724
-0.360,1.065,-0.310,-29.175,89.478,13.916
-0.361,1.075,-0.341,-27.832,88.196,11.658
-0.351,1.114,-0.346,-35.889,83.679,3.479
-0.357,1.155,-0.322,-37.781,81.787,-3.906
-0.391,1.108,-0.340,-36.743,81.116,-11.658
-0.418,1.045,-0.391,-30.945,78.186,-18.982
-0.426,1.014,-0.433,-31.555,73.730,-19.226
-0.392,1.069,-0.406,-33.691,69.031,-20.447
-0.370,1.100,-0.362,-35.522,65.735,-24.109
-0.355,1.111,-0.335,-34.668,64.636,-35.889
-0.346,1.080,-0.323,-32.043,64.636,-41.687
-0.352,1.039,-0.320,-28.870,64.514,-46.021
-0.365,1.031,-0.388,-24.170,62.378,-49.072
-0.367,1.032,-0.419,-29.236,55.786,-53.406
-0.344,0.939,-0.379,-33.020,57.922,-54.932
-0.341,0.938,-0.497,-33.875,65.308,-51.514
-0.323,0.961,-0.547,-38.452,52.124,-44.617
-0.282,1.021,-0.445,-42.114,43.884,-46.936
-0.281,1.006,-0.435,-44.373,41.992,-52.917
-0.281,0.990,-0.453,-39.978,38.330,-59.753
-0.263,1.031,-0.475,-36.072,33.264,-61.279
-0.273,1.025,-0.482,-32.043,28.931,-65.308
-0.296,0.949,-0.527,-26.550,27.527,-70.251
-0.292,0.848,-0.582,-18.921,21.790,-67.749
-0.223,0.810,-0.554,-21.667,15.381,-62.134
-0.192,0.847,-0.517,-25.269,10.986,-58.716
-0.167,0.891,-0.481,-27.161,7.141,-59.998
-0.135,0.949,-0.467,-25.330,7.324,-62.317
-0.126,0.953,-0.492,-22.156,6.897,-64.758
-0.123,0.936,-0.507,-17.212,2.869,-67.505
-0.130,0.904,-0.530,-18.555,1.160,-66.223
-0.121,0.856,-0.542,-22.583,-0.732,-63.538
-0.110,0.865,-0.543,-26.123,-2.319,-60.669
-0.093,0.898,-0.528,-30.396,-8.179,-58.289
-0.050,0.998,-0.480,-31.311,-10.010,-59.387
-0.047,1.015,-0.485,-29.236,-10.864,-62.378
-0.054,0.994,-0.503,-16.052,-13.123,-68.909
-0.063,0.947,-0.541,-7.812,-14.893,-69.031
-0.058,0.862,-0.623,-3.845,-18.188,-67.078
-0.049,0.859,-0.654,-6.470,-22.705,-64.514
-0.022,0.859,-0.653,-26.672,-34.241,-68.726
0.000,0.932,-0.594,-34.851,-37.842,-71.167
0.047,0.849,-0.598,-37.415,-37.537,-81.055
0.053,0.688,-0.658,-33.264,-48.584,-72.388
0.045,0.701,-0.629,-32.715,-60.669,-52.856
0.060,0.766,-0.514,-29.785,-61.401,-45.959
0.056,0.699,-0.573,-25.818,-56.030,-47.363
0.065,0.673,-0.584,-21.667,-61.584,-39.490
0.101,0.740,-0.541,-19.714,-65.796,-33.752
0.104,0.737,-0.526,-17.273,-68.359,-31.372
0.105,0.698,-0.521,-16.663,-68.542,-32.288
0.106,0.646,-0.528,-19.348,-67.932,-30.396
0.144,0.680,-0.468,-22.217,-67.932,-25.146
0.158,0.735,-0.430,-21.545,-67.871,-19.165
0.162,0.747,-0.419,-6.409,-67.261,-16.235
0.163,0.624,-0.451,0.061,-68.665,-17.822
0.168,0.580,-0.455,3.906,-70.557,-16.663
0.176,0.590,-0.474,6.348,-71.167,-8.606
0.188,0.616,-0.492,5.737,-73.547,-6.470
0.208,0.647,-0.423,4.395,-76.355,-4.150
0.219,0.674,-0.374,3.296,-77.209,-0.610
0.231,0.693,-0.333,8.118,-75.867,4.456
0.248,0.653,-0.255,13.428,-73.853,5.676
0.250,0.627,-0.272,18.738,-68.726,7.629
0.248,0.614,-0.314,23.132,-60.974,14.771
0.242,0.617,-0.360,23.132,-61.401,18.494
0.242,0.640,-0.404,21.606,-63.843,21.851
0.255,0.674,-0.378,16.296,-67.078,25.330
0.270,0.708,-0.318,3.418,-73.181,30.945
0.286,0.703,-0.205,2.930,-73.975,32.898
0.286,0.671,-0.172,6.470,-73.120,35.034
0.283,0.638,-0.155,14.709,-67.444,41.565
0.277,0.606,-0.150,16.602,-64.758,46.387
0.254,0.532,-0.153,16.785,-63.232,52.795
0.250,0.526,-0.132,14.343,-62.927,60.791
0.248,0.549,-0.104,6.409,-62.256,76.599
0.264,0.713,0.040,2.991,-61.035,82.642
0.278,0.809,0.116,3.296,-56.335,85.327
0.280,0.850,0.151,14.893,-36.438,79.163
0.269,0.853,0.135,18.799,-25.513,74.585
0.218,0.844,-0.033,19.775,-17.334,70.862
0.196,0.838,-0.101,17.456,-14.832,68.542
0.186,0.853,-0.105,2.563,-21.362,68.115
0.174,0.884,-0.010,-4.578,-22.888,67.017
0.168,0.879,0.037,-8.606,-21.362,65.979
0.168,0.894,0.065,-9.033,-12.878,67.993
0.165,0.920,0.077,-6.897,-7.935,68.726
0.132,0.922,0.072,-3.601,-2.808,69.519
0.119,0.929,0.058,-0.366,2.747,71.289
0.107,0.945,0.039,0.793,14.160,74.829
0.088,0.999,-0.016,-1.160,18.494,75.806
0.074,1.030,-0.052,-2.136,21.118,76.233
0.053,1.039,-0.081,-2.869,20.691,75.439
0.033,1.033,-0.087,-6.042,20.508,75.439
0.025,1.022,-0.080,-10.559,21.484,75.500
0.019,1.016,-0.067,-16.235,22.522,75.134
0.005,1.004,-0.051,-26.794,24.780,75.134
-0.029,0.984,-0.030,-29.175,26.978,76.233
-0.042,0.993,-0.017,-28.748,29.785,77.881
-0.057,1.010,0.000,-24.536,39.124,78.918
-0.079,1.031,-0.000,-22.339,46.570,77.881
-0.132,1.076,-0.124,-19.897,53.101,76.172
-0.151,1.065,-0.206,-18.860,56.030,74.219
-0.154,1.059,-0.247,-28.320,51.208,72.876
-0.161,1.067,-0.222,-34.607,47.729,71.167
-0.174,1.073,-0.175,-40.222,46.082,68.237
-0.189,1.085,-0.140,-44.434,50.781,60.059
-0.200,1.085,-0.119,-42.725,54.626,54.810
-0.229,1.032,-0.101,-41.748,58.350,49.805
-0.264,0.990,-0.114,-41.077,61.768,45.837
-0.310,0.950,-0.137,-39.063,70.129,41.992
-0.365,0.928,-0.237,-37.964,74.097,42.175
-0.377,0.938,-0.270,-37.659,75.623,42.664
-0.389,0.964,-0.277,-40.894,75.256,41.992
-0.402,1.007,-0.276,-42.969,76.172,39.490
-0.431,1.101,-0.277,-44.617,77.942,34.973
-0.444,1.113,-0.290,-44.128,80.322,28.748
-0.457,1.105,-0.328,-38.147,86.182,15.076
-0.499,1.071,-0.483,-36.255,87.036,9.338
-0.502,1.057,-0.545,-36.865,83.862,4.883
-0.500,1.065,-0.568,-47.241,71.289,-3.052
-0.505,1.084,-0.568,-52.734,65.796,-8.728
-0.521,1.138,-0.530,-56.335,61.218,-14.709
-0.528,1.172,-0.535,-57.251,57.739,-21.362
-0.517,1.158,-0.492,-58.533,48.523,-40.100
-0.514,1.086,-0.495,-56.763,53.223,-46.875
-0.534,1.057,-0.555,-54.687,56.824,-52.185
-0.553,1.048,-0.565,-51.819,49.866,-61.829
-0.565,1.051,-0.564,-47.852,49.805,-67.810
-0.565,1.034,-0.651,-42.114,50.842,-72.632
-0.536,1.049,-0.661,-37.170,47.913,-75.562
-0.499,1.073,-0.629,-34.119,37.842,-84.229
-0.461,1.035,-0.627,-32.593,34.912,-91.492
-0.457,0.984,-0.645,-31.311,30.579,-97.839
-0.451,0.920,-0.675,-27.222,20.691,-103.760
-0.430,0.857,-0.688,-27.954,15.381,-103.760
-0.372,0.836,-0.689,-31.189,9.705,-102.844
-0.338,0.843,-0.663,-33.386,3.174,-102.600
-0.308,0.845,-0.636,-31.372,-7.507,-103.455
-0.249,0.863,-0.595,-30.884,-10.498,-105.530
-0.222,0.877,-0.586,-33.020,-11.719,-109.131
-0.210,0.876,-0.613,-37.720,-14.099,-119.202
-0.210,0.849,-0.651,-38.940,-18.372,-123.230
-0.255,0.734,-0.712,-37.170,-22.095,-124.695
-0.247,0.664,-0.746,-31.982,-23.682,-122.803
-0.209,0.639,-0.767,-28.381,-30.396,-110.046
-0.122,0.729,-0.711,-32.593,-37.048,-105.225
-0.069,0.761,-0.655,-36.499,-43.030,-106.140
-0.042,0.791,-0.617,-31.433,-45.654,-114.563
-0.047,0.869,-0.617,-26.794,-42.786,-134.094
-0.014,0.458,-0.737,-20.935,-42.236,-149.292
-0.043,0.434,-0.784,-16.541,-48.523,-131.897
-0.030,0.530,-0.758,-17.029,-67.749,-83.984
0.040,0.585,-0.681,-15.137,-69.580,-78.857
0.085,0.584,-0.670,-17.883,-70.740,-76.660
0.115,0.603,-0.617,-30.029,-79.651,-65.796
0.128,0.609,-0.567,-28.931,-78.796,-62.073
0.126,0.539,-0.585,-26.733,-76.721,-59.875
0.137,0.485,-0.596,-26.428,-75.562,-58.105
0.154,0.424,-0.607,-22.705,-73.059,-43.762
0.177,0.412,-0.631,-17.395,-73.303,-28.259
0.192,0.462,-0.612,-12.817,-75.989,-12.390
0.218,0.526,-0.569,-9.399,-82.520,4.272
0.245,0.583,-0.520,-6.836,-82.214,4.517
0.286,0.625,-0.468,-1.038,-80.139,2.991
0.297,0.604,-0.443,6.836,-78.247,3.235
0.305,0.601,-0.455,18.311,-73.669,9.583
0.303,0.593,-0.483,19.165,-74.463,12.695
0.300,0.592,-0.468,17.517,-75.989,16.846
0.296,0.595,-0.455,9.888,-78.125,27.588
0.288,0.592,-0.436,5.615,-79.712,33.081
0.276,0.564,-0.384,0.671,-80.566,38.452
0.282,0.565,-0.363,-5.615,-80.261,44.434
0.297,0.601,-0.305,-15.869,-81.726,57.434
0.312,0.660,-0.141,-13.184,-79.712,61.096
0.305,0.667,-0.113,-6.348,-73.547,63.904
0.294,0.674,-0.131,6.470,-58.716,70.801
0.278,0.680,-0.174,8.789,-54.993,74.219
0.258,0.684,-0.214,9.216,-54.260,77.148
0.256,0.679,-0.208,7.874,-54.932,79.529
0.261,0.677,-0.176,-0.488,-57.190,84.106
0.252,0.665,-0.081,-3.052,-56.641,87.036
0.246,0.642,-0.046,-1.770,-54.626,91.553
0.254,0.667,-0.011,-0.427,-45.959,102.722
0.262,0.742,0.029,-1.648,-38.452,103.638
0.242,0.858,0.059,0.122,-28.809,101.807
0.231,0.892,-0.007,5.066,-18.433,99.731
0.232,0.925,-0.095,12.634,-6.897,95.215
0.245,0.993,-0.117,8.545,-6.653,91.370
0.244,1.010,-0.054,1.282,-6.592,86.731
0.242,1.017,0.013,-4.456,0.793,77.820
0.239,1.044,0.056,-2.441,9.216,72.754
0.206,1.110,0.056,1.709,19.775,66.223
0.173,1.085,-0.017,8.423,30.884,59.265
0.135,1.029,-0.134,20.508,43.640,52.002
0.096,0.979,-0.292,19.165,42.542,53.101
0.090,1.019,-0.296,12.817,39.551,55.237
0.089,1.076,-0.252,-1.282,33.936,54.626
0.091,1.134,-0.172,-4.028,33.752,50.171
0.060,1.110,-0.021,-3.723,37.842,44.250
0.037,1.049,-0.004,-1.953,45.471,40.161
0.016,0.996,-0.012,1.831,61.890,41.809
-0.006,0.977,-0.053,3.296,69.519,45.105
-0.011,1.003,-0.095,4.456,76.416,47.241
-0.018,1.035,-0.136,-0.671,84.045,45.227
-0.029,1.072,-0.180,-6.409,85.144,41.687
-0.059,1.154,-0.252,-12.695,84.412,36.926
-0.089,1.164,-0.261,-17.822,82.886,30.945
-0.120,1.124,-0.265,-20.996,82.214,19.165
-0.161,1.027,-0.323,-21.606,82.703,16.846
-0.171,1.034,-0.373,-23.132,81.970,15.869
-0.180,1.078,-0.430,-29.358,75.195,10.193
-0.189,1.128,-0.481,-32.227,70.007,4.272
-0.188,1.118,-0.456,-34.546,65.063,-1.831
-0.187,1.102,-0.414,-36.316,61.707,-7.141
-0.186,1.088,-0.389,-33.936,62.378,-16.418
-0.178,1.074,-0.445,-29.358,63.477,-20.813
-0.181,1.060,-0.470,-25.757,62.561,-25.146
-0.197,1.029,-0.483,-22.644,60.059,-31.250
-0.219,0.963,-0.510,-21.667,60.303,-31.494
-0.214,0.971,-0.529,-20.508,60.425,-30.579
-0.203,1.012,-0.573,-16.357,57.556,-32.532
-0.192,1.063,-0.630,-16.602,53.345,-37.109
-0.197,1.125,-0.700,-19.958,47.424,-43.274
-0.209,1.129,-0.714,-24.231,40.833,-50.232
-0.220,1.103,-0.719,-26.306,28.992,-63.843
-0.208,0.997,-0.730,-27.832,24.109,-67.749
-0.189,0.963,-0.727,-30.823,19.104,-69.519
-0.167,0.932,-0.707,-31.799,7.568,-71.472
