aX,aY,aZ,gX,gY,gZ
0.279,0.868,-0.028,11.902,-2.075,0.488
0.281,0.878,-0.024,9.583,1.709,3.174
0.284,0.897,-0.041,4.883,8.667,7.446
0.285,0.919,-0.098,5.249,8.911,7.507
0.286,0.911,-0.087,6.226,6.165,6.897
0.285,0.909,-0.057,6.653,0.244,7.202
0.282,0.914,-0.026,8.728,-0.305,7.324
0.277,0.905,0.000,11.780,0.305,6.653
0.273,0.892,0.001,14.404,0.977,5.493
0.264,0.887,-0.002,18.616,1.404,3.662
0.258,0.913,-0.001,23.987,1.709,2.319
0.264,0.927,0.010,30.945,3.174,0.854
0.273,0.937,0.005,36.743,11.658,-0.854
0.285,0.940,-0.021,35.889,14.648,-0.854
0.285,0.909,-0.032,34.851,14.465,0.610
0.271,0.889,-0.009,33.752,13.550,3.662
0.258,0.879,0.015,28.992,18.250,11.230
0.250,0.916,-0.018,28.992,21.301,13.306
0.252,0.938,-0.033,31.128,19.592,13.428
0.255,0.951,-0.005,31.006,8.057,12.512
0.259,0.955,0.036,27.283,8.240,13.855
0.258,0.988,0.026,20.630,13.367,15.991
0.264,1.014,-0.018,12.756,19.348,17.212
0.275,1.037,-0.052,2.930,22.278,16.235
0.285,1.055,-0.033,1.953,20.874,15.015
0.266,1.036,-0.014,1.282,20.447,12.878
0.240,0.997,0.003,3.052,22.339,9.277
0.218,0.969,-0.001,5.371,22.339,9.644
0.209,0.966,-0.015,7.324,19.836,10.071
0.216,0.973,-0.008,10.681,16.357,9.827
0.226,0.983,-0.009,13.672,11.719,9.033
0.237,1.008,0.014,12.573,10.864,8.362
0.232,1.006,0.015,12.085,12.451,7.019
0.223,0.997,-0.009,10.925,16.357,5.493
0.211,0.973,-0.002,10.498,17.822,7.202
0.212,0.980,-0.013,10.864,20.447,9.521
0.207,0.982,-0.027,10.742,20.691,9.766
0.201,0.973,-0.019,5.127,15.564,7.141
0.195,0.956,-0.018,2.258,15.198,7.996
0.199,0.974,-0.020,-0.366,15.137,9.888
0.199,0.990,-0.024,-1.587,15.442,10.010
0.187,0.984,-0.041,-0.244,15.930,8.667
0.185,0.976,-0.055,2.258,16.602,7.690
0.182,0.970,-0.061,8.972,14.954,7.507
0.178,0.970,-0.056,11.169,12.756,7.935
0.186,1.003,-0.045,11.353,10.254,7.446
0.186,1.003,-0.037,11.536,6.958,4.639
0.179,0.984,-0.018,12.939,-1.038,-2.075
